seed,n,k,negative_fraction,bloom,filtered_set,set,speedup,backend_fraction,extra_backend_ns_break_even
3,200000,7,0.9,41.188955,46.53854,31.657915,0.6802515721378454,0.107055,16.66466019743657
3,200000,7,1.0,41.48229,43.49958,32.34021,0.7434602816854783,0.00781,11.247210715689537
3,200000,11,0.0,38.25375,69.50125,20.535415,0.29546828294455135,1.0,inf
3,200000,11,0.5,41.68208,57.724585,38.17875,0.661394967153077,0.50569,39.54165402277922
3,200000,11,0.9,44.936875,50.72,31.52479,0.6215455441640378,0.110475,21.579168657429527
3,200000,11,1.0,45.640835,48.19604,30.801875,0.6390955563984094,0.01168,17.599729844584754
4,20000,1,0.0,3.683955,25.224375,18.985835,0.7526781139275008,1.0,inf
4,20000,1,0.5,19.0375,34.589375,33.734375,0.9752814267387023,0.546715,1.8862305172242557
4,20000,1,0.9,9.57854,18.86333,29.25479,1.5508815251601917,0.185315,-12.755187587840698
4,20000,1,1.0,6.501665,10.27604,28.595415,2.7827271011012025,0.094945,-20.24117318836977
4,20000,3,0.0,10.259585,33.4375,19.3175,0.5777196261682243,1.0,inf
4,20000,3,0.5,23.718125,37.018125,33.447295,0.9035383342619324,0.508835,7.27012307473049
4,20000,3,0.9,23.712085,28.438125,30.01479,1.05544194633085,0.115795,-1.783144180365415
4,20000,3,1.0,16.025,17.4075,28.464375,1.6351788022404137,0.01749,-11.25370225239438
4,20000,7,0.0,23.769375,48.00375,19.60979,0.4085053771840742,1.0,inf
4,20000,7,0.5,31.14604,44.075415,33.71167,0.7648633597664366,0.504015,20.89527909110155
4,20000,7,0.9,38.52854,44.4625,31.004165,0.6973104301377566,0.107385,15.077424197442344
4,20000,7,1.0,38.442915,40.359165,28.346875,0.7023652496279347,0.00825,12.112215780186535
4,20000,11,0.0,37.89021,62.836045,19.05375,0.30322961924163117,1.0,inf
4,20000,11,0.5,38.682705,53.19208,33.535,0.6304509994721018,0.505755,39.77193497152222
4,20000,11,0.9,41.74625,46.04083,29.49979,0.6407310641445865,0.110215,18.58992902779885
4,20000,11,1.0,41.610835,44.28354,28.390835,0.6411148476386486,0.01132,16.07467026742728
4,200000,1,0.0,3.868125,32.814585,22.34,0.6807948355891138,1.0,inf
4,200000,1,0.5,20.466045,38.798335,36.489375,0.9404881678556567,0.547245,5.099800112643702
4,200000,1,0.9,10.681665,21.41583,34.73375,1.6218726988400636,0.185345,-16.34792642284157
4,200000,1,1.0,6.82146,11.736875,31.229165,2.6607734171148625,0.09471,-21.53154237868528
4,200000,3,0.0,10.712915,38.80354,22.13729,0.5704966608716627,1.0,inf
4,200000,3,0.5,35.425415,71.56479,51.09729,0.7140004183621582,0.5089,41.67684789248626
4,200000,3,0.9,25.84021,31.97229,36.312915,1.1357620927371794,0.115905,-4.909681651858675
4,200000,3,1.0,18.020205,23.176665,45.839375,1.9778244626653574,0.017605,-23.068836873151835
4,200000,7,0.0,24.33375,55.247915,20.616665,0.3731663900800601,1.0,inf
4,200000,7,0.5,33.549165,51.09792,36.866665,0.7214905225105053,0.50405,28.69493900594819
4,200000,7,0.9,41.582085,47.333335,32.555415,0.687790433528506,0.10753,16.558450143982427
4,200000,7,1.0,41.279165,43.543125,36.489585,0.8380102484605778,0.00845,7.113650345418794
4,200000,11,0.0,38.20292,68.265,20.495,0.3002270563246173,1.0,inf
4,200000,11,0.5,42.299375,66.89083,36.334375,0.5431891785465961,0.505945,61.84828612199045
4,200000,11,0.9,44.77354,50.921045,31.80833,0.6246598042125805,0.110695,21.491743552549462
4,200000,11,1.0,45.7375,49.00396,30.96,0.6317856760963808,0.011945,18.26210079398414
