n,k,negative_fraction,method,mean,ci95_half,seed_count
200000,1,0.0,set,21.0798425,1.4960134493237152,4
200000,1,0.5,bloom,20.1288025,0.37167141551088284,4
200000,1,0.5,filtered_set,37.964845,0.9349241047438999,4
200000,1,0.5,set,35.96510375,0.602609379837826,4
200000,1,0.9,bloom,10.4623425,0.37793994063116343,4
200000,1,0.9,filtered_set,20.737135000000002,0.8235530273802453,4
200000,1,0.9,set,32.300886250000005,2.648305254375805,4
200000,1,1.0,bloom,6.83479125,0.13198593955601276,4
200000,1,1.0,filtered_set,11.2192175,0.5743113434764876,4
200000,1,1.0,set,30.38088625,0.914300699159937,4
200000,3,0.0,bloom,10.66260375,0.1416688341104639,4
200000,3,0.0,filtered_set,37.46213625,1.4577037803090118,4
200000,3,0.0,set,20.83442625,1.38685776277594,4
200000,3,0.5,bloom,27.99979125,7.877600126475802,4
200000,3,0.5,filtered_set,48.96916625,23.971938867831472,4
200000,3,0.5,set,39.554635000000005,12.248963152776124,4
200000,3,0.9,bloom,25.154115,0.749154449861663,4
200000,3,0.9,filtered_set,31.1260425,0.9561127095831504,4
200000,3,0.9,set,32.834894999999996,3.731086417336048,4
200000,3,1.0,bloom,17.76156125,1.6985000414601017,4
200000,3,1.0,filtered_set,19.96911375,3.5007245307013752,4
200000,3,1.0,set,36.3388025,11.530062517763003,4
200000,7,0.0,bloom,24.542345,0.4690998030198442,4
200000,7,0.0,filtered_set,53.72109375,1.76968311615476,4
200000,7,0.0,set,20.692082499999998,0.13105982327770863,4
200000,7,0.5,bloom,33.41729125,0.6576265630555411,4
200000,7,0.5,filtered_set,49.95260375000001,1.6695180599724488,4
200000,7,0.5,set,36.294165,0.7811495981671888,4
200000,7,0.9,bloom,41.1499475,0.5119216637979833,4
200000,7,0.9,filtered_set,47.04520875,0.5641193248800179,4
200000,7,0.9,set,31.99942625,0.615711470032009,4
200000,7,1.0,bloom,42.3398425,3.743905900156806,4
200000,7,1.0,filtered_set,44.59067625,4.024547134138672,4
200000,7,1.0,set,40.869688749999995,24.276417131004962,4
200000,11,0.0,bloom,43.1663025,15.408315108449758,4
200000,11,0.0,filtered_set,80.1311975,37.03912437091487,4
200000,11,0.0,set,23.073176250000003,8.230611036305797,4
200000,11,0.5,bloom,46.66880125,14.525544820756078,4
200000,11,0.5,filtered_set,69.29484375,27.779516215315617,4
200000,11,0.5,set,44.14265625,23.105726251226166,4
200000,11,0.9,bloom,48.979634999999995,12.782244256753218,4
200000,11,0.9,filtered_set,54.80239625,12.224486646791972,4
200000,11,0.9,set,40.21301875,27.446122181272944,4
200000,11,1.0,bloom,46.748906250000005,3.504957070465963,4
200000,11,1.0,filtered_set,51.921771250000006,11.390010242478578,4
200000,11,1.0,set,36.8844275,18.788182382702196,4
