seed,n,k,negative_fraction,repeat,method,ns_per_query,mean_probes,returned_positive
4,20000,7,0,5,early_exit,50.238125,7,200000
4,20000,7,0,5,full_scan,45.748125,7,200000
4,20000,7,0,6,full_scan,29.428955,7,200000
4,20000,7,0,6,early_exit,27.780625,7,200000
4,20000,7,1,0,full_scan,22.83,7,1650
4,20000,7,1,0,early_exit,40.235625,2.00118,1650
4,20000,7,1,1,early_exit,37.865835,2.00118,1650
4,20000,7,1,1,full_scan,22.840205,7,1650
4,20000,7,1,2,full_scan,22.41167,7,1650
4,20000,7,1,2,early_exit,38.181665,2.00118,1650
4,20000,7,1,3,early_exit,38.229585,2.00118,1650
4,20000,7,1,3,full_scan,23.36125,7,1650
4,20000,7,1,4,early_exit,47.545625,2.00118,1650
4,20000,7,1,4,full_scan,30.27,7,1650
4,20000,7,1,5,early_exit,38.46708,2.00118,1650
4,20000,7,1,5,full_scan,26.468955,7,1650
4,20000,7,1,6,full_scan,25.92667,7,1650
4,20000,7,1,6,early_exit,39.869375,2.00118,1650
4,200000,7,0,0,full_scan,23.516045,7,200000
4,200000,7,0,0,early_exit,24.10375,7,200000
4,200000,7,0,1,full_scan,23.045,7,200000
4,200000,7,0,1,early_exit,24.19729,7,200000
4,200000,7,0,2,early_exit,24.04104,7,200000
4,200000,7,0,2,full_scan,22.982295,7,200000
4,200000,7,0,3,full_scan,23.06,7,200000
4,200000,7,0,3,early_exit,24.693125,7,200000
4,200000,7,0,4,early_exit,24.393125,7,200000
4,200000,7,0,4,full_scan,23.260625,7,200000
4,200000,7,0,5,full_scan,23.14354,7,200000
4,200000,7,0,5,early_exit,24.05104,7,200000
4,200000,7,0,6,early_exit,24.41125,7,200000
4,200000,7,0,6,full_scan,23.340835,7,200000
4,200000,7,1,0,early_exit,41.11146,2.000255,1690
4,200000,7,1,0,full_scan,22.990835,7,1690
4,200000,7,1,1,full_scan,23.27104,7,1690
4,200000,7,1,1,early_exit,41.206875,2.000255,1690
4,200000,7,1,2,full_scan,23.01375,7,1690
4,200000,7,1,2,early_exit,41.354375,2.000255,1690
4,200000,7,1,3,full_scan,23.391665,7,1690
4,200000,7,1,3,early_exit,40.853125,2.000255,1690
4,200000,7,1,4,early_exit,40.42771,2.000255,1690
4,200000,7,1,4,full_scan,23.555625,7,1690
4,200000,7,1,5,early_exit,40.32354,2.000255,1690
4,200000,7,1,5,full_scan,23.103125,7,1690
4,200000,7,1,6,early_exit,41.237085,2.000255,1690
4,200000,7,1,6,full_scan,23.55125,7,1690
