seed,n,k,negative_fraction,repeat,method,ns_per_query,returned_positive,expected_positive,backend_calls
1,20000,7,1,0,set,28.072295,0,0,200000
1,20000,7,1,0,full_scan,22.84208,0,0,1672
1,20000,7,1,1,full_scan,22.807915,0,0,1672
1,20000,7,1,1,early_exit,39.824795,0,0,1672
1,20000,7,1,1,set,27.859165,0,0,200000
1,20000,7,1,2,set,27.57125,0,0,200000
1,20000,7,1,2,full_scan,22.90542,0,0,1672
1,20000,7,1,2,early_exit,39.942705,0,0,1672
1,20000,7,1,3,set,28.561665,0,0,200000
1,20000,7,1,3,full_scan,25.25729,0,0,1672
1,20000,7,1,3,early_exit,44.5525,0,0,1672
1,20000,7,1,4,set,30.58646,0,0,200000
1,20000,7,1,4,early_exit,41.69333,0,0,1672
1,20000,7,1,4,full_scan,23.48375,0,0,1672
1,20000,7,1,5,full_scan,23.64667,0,0,1672
1,20000,7,1,5,early_exit,40.434165,0,0,1672
1,20000,7,1,5,set,29.62625,0,0,200000
1,20000,7,1,6,early_exit,40.61729,0,0,1672
1,20000,7,1,6,full_scan,23.15667,0,0,1672
1,20000,7,1,6,set,28.16,0,0,200000
1,200000,1,0,0,early_exit,27.54604,200000,200000,200000
1,200000,1,0,0,full_scan,26.81792,200000,200000,200000
1,200000,1,0,0,set,20.49229,200000,200000,200000
1,200000,1,0,1,set,20.204375,200000,200000,200000
1,200000,1,0,1,early_exit,27.82375,200000,200000,200000
1,200000,1,0,1,full_scan,26.855625,200000,200000,200000
1,200000,1,0,2,set,20.51167,200000,200000,200000
1,200000,1,0,2,early_exit,27.51375,200000,200000,200000
1,200000,1,0,2,full_scan,27.27625,200000,200000,200000
1,200000,1,0,3,set,20.721665,200000,200000,200000
1,200000,1,0,3,early_exit,27.696875,200000,200000,200000
1,200000,1,0,3,full_scan,27.091045,200000,200000,200000
1,200000,1,0,4,full_scan,26.447915,200000,200000,200000
1,200000,1,0,4,set,20.248335,200000,200000,200000
1,200000,1,0,4,early_exit,27.48646,200000,200000,200000
1,200000,1,0,5,set,20.06354,200000,200000,200000
1,200000,1,0,5,early_exit,27.094375,200000,200000,200000
1,200000,1,0,5,full_scan,26.79521,200000,200000,200000
1,200000,1,0,6,early_exit,27.37854,200000,200000,200000
1,200000,1,0,6,full_scan,26.487915,200000,200000,200000
1,200000,1,0,6,set,20.289165,200000,200000,200000
1,200000,1,0.5,0,early_exit,37.58708,100000,100000,109376
1,200000,1,0.5,0,full_scan,37.49667,100000,100000,109376
1,200000,1,0.5,0,set,35.198125,100000,100000,200000
1,200000,1,0.5,1,set,35.07729,100000,100000,200000
1,200000,1,0.5,1,early_exit,37.150835,100000,100000,109376
1,200000,1,0.5,1,full_scan,37.43729,100000,100000,109376
1,200000,1,0.5,2,early_exit,37.030625,100000,100000,109376
1,200000,1,0.5,2,full_scan,36.891045,100000,100000,109376
1,200000,1,0.5,2,set,35.298125,100000,100000,200000
1,200000,1,0.5,3,full_scan,36.40521,100000,100000,109376
1,200000,1,0.5,3,set,35.590205,100000,100000,200000
1,200000,1,0.5,3,early_exit,37.51021,100000,100000,109376
1,200000,1,0.5,4,full_scan,37.127705,100000,100000,109376
1,200000,1,0.5,4,set,35.838125,100000,100000,200000
1,200000,1,0.5,4,early_exit,37.672085,100000,100000,109376
1,200000,1,0.5,5,early_exit,36.885835,100000,100000,109376
1,200000,1,0.5,5,full_scan,37.24417,100000,100000,109376
1,200000,1,0.5,5,set,36.520415,100000,100000,200000
1,200000,1,0.5,6,set,35.83521,100000,100000,200000
1,200000,1,0.5,6,full_scan,36.689585,100000,100000,109376
1,200000,1,0.5,6,early_exit,37.239795,100000,100000,109376
1,200000,1,0.9,0,set,31.006665,20000,20000,200000
1,200000,1,0.9,0,full_scan,20.745205,20000,20000,37059
1,200000,1,0.9,0,early_exit,20.348955,20000,20000,37059
1,200000,1,0.9,1,set,31.065,20000,20000,200000
1,200000,1,0.9,1,full_scan,20.414795,20000,20000,37059
1,200000,1,0.9,1,early_exit,19.967295,20000,20000,37059
1,200000,1,0.9,2,full_scan,20.56604,20000,20000,37059
1,200000,1,0.9,2,early_exit,20.6225,20000,20000,37059
1,200000,1,0.9,2,set,31.106875,20000,20000,200000
1,200000,1,0.9,3,set,30.576665,20000,20000,200000
1,200000,1,0.9,3,early_exit,20.18229,20000,20000,37059
1,200000,1,0.9,3,full_scan,20.59146,20000,20000,37059
